case	target	time	dt	GH_L2	reduction_L2	curl_L2	Psi_error_L2	Pi_L2	Phi_L2	bad_state	physical_lapse_min	G_lambda_min	G_condition_max	relative_lapse_min	relative_v2_max	r_core	transition_amplitude	feedback
frozen	0.5	0.5028016558910415	0.003591244777347315	1.6176542690710755e-05	8.879479510278575e-07	5.357075215076847e-07	0.0009198371905610458	0.011716879654180083	0.0010099189426198225	0.0	0.004530774797462844	0.0	0.0	0.0	0.0	0.0	0.0	0.0
frozen	1.0	1.001926619792773	0.003590296657892866	4.07175138597262e-05	7.284850728047615e-06	3.2558222704667307e-06	0.0036814502075568707	0.023643954543718516	0.0040499459409804395	0.0	0.004530775093715017	0.0	0.0	0.0	0.0	0.0	0.0	0.0
frozen	1.5	1.500866113755756	0.003588555793312528	6.714345323639596e-05	2.503628243058968e-05	1.0232260807918645e-05	0.008372186426503002	0.036216967625950634	0.009242574715199079	0.0	0.00453077487091923	0.0	0.0	0.0	0.0	0.0	0.0	0.0
frozen	1.6	1.601339076234661	0.003588094205918703	7.255425705718872e-05	3.0523364065205614e-05	1.2347948896835285e-05	0.009562946173054235	0.03886793648374969	0.01056643280133793	0.0	0.004530774708446231	0.0	0.0	0.0	0.0	0.0	0.0	0.0
frozen	1.8	1.802243292709343	0.003587046702005599	8.343359573118217e-05	4.382559728487294e-05	1.7442874308165586e-05	0.012204127643337052	0.044326366767268026	0.01351084390125088	0.0	0.004530774223062862	0.0	0.0	0.0	0.0	0.0	0.0	0.0
frozen	2.0	2.003083855569547	0.003585821601762111	9.439023952517149e-05	6.057835369213675e-05	2.3817385926863816e-05	0.01520426859434188	0.050032011904735524	0.016868505058293105	0.0	0.00453077348698175	0.0	0.0	0.0	0.0	0.0	0.0	0.0
frozen	2.2	2.2	0.003584405789151403	0.0001052257895562306	8.07696191603045e-05	3.1464518389670554e-05	0.01851258827010394	0.05592034307775737	0.020586666052314177	0.0	0.004530772477515909	0.0	0.0	0.0	0.0	0.0	0.0	0.0
frozen	3.0	3.002095184604606	0.003576516624048134	0.0001510787398858844	0.00021033264087982868	8.018788382475107e-05	0.03622211617976467	0.08440231329318404	0.040740967450756754	0.0	0.004530764442892156	0.0	0.0	0.0	0.0	0.0	0.0	0.0
frozen	4.0	4.0	0.003560135651264184	0.00021665143129684313	0.0005127372993223751	0.00019415459842296335	0.07060306299652422	0.13916842790019437	0.08077444254298695	0.0	0.004530741481363011	0.0	0.0	0.0	0.0	0.0	0.0	0.0
fixed_core_tau4	0.5	0.5026791037511678	0.003587904315841504	1.652258932764455e-05	9.172928281561395e-07	2.7581800843384005e-05	0.0016946061054645663	0.031632118334144005	0.0019621166279858325	0.0	0.004530774797313275	0.9990262575127937	1.010550122860123	1.000000050227055	1.128973108239865e-07	0.3	0.01629372478902176	0.0
fixed_core_tau4	1.0	1.000280029625192	0.003568837215680822	0.00013442817848460106	9.908848428965947e-06	0.00026936338084103715	0.010486404716391196	0.11233525209938906	0.015002473362214032	0.0	0.00453077509136582	0.9962365216312605	1.073393512882556	1.000000115128219	3.450098237411889e-05	0.3	0.1035894747200673	0.0
fixed_core_tau4	1.5	1.501025396629015	0.003531635721320893	0.000455119338517164	5.3508989493098965e-05	0.0010723416611684868	0.03412459387297217	0.25717127664920775	0.059687452393769116	0.0	0.004530774871685669	0.9914888911071461	1.271006838443858	1.000000066641995	0.001278310206274813	0.3	0.2756300853706763	0.0
fixed_core_tau4	1.6	1.603304556604595	0.003522353638540804	0.0005712307745664708	7.220653665327085e-05	0.0014479803965436972	0.0419600796378295	0.2972550326322602	0.07630484934906473	0.0	0.004530774712733425	0.9902605772496489	1.33867369477572	1.000000031559198	0.002443943997870407	0.3	0.3188685487793643	0.0
fixed_core_tau4	1.8	1.800024556235831	0.003503544334511837	0.0009192347787379046	0.00012685875383098958	0.0027539697968071188	0.061283024681778174	0.3865788085211445	0.11985080418731874	0.0	0.004530774269636282	0.9876211613144409	1.504157551425573	0.9999999337619814	0.008175371452007568	0.3	0.4068844066998906	0.0
fixed_core_tau4	2.0	2.002639833896687	0.003483509384839441	0.001618750961005797	0.00022805921319182963	0.005557946689191667	0.08873371126527385	0.4954997051621247	0.18630981932574409	0.0	0.004530773608322923	0.9844529034577397	1.732902727213198	0.9999997878016498	0.02718424002755094	0.3	0.5012374207018642	0.0
