cycle,time,rk_stage,checkpoint,max_abs,max_scaled,component,gid,z,nonfinite
0,0,1,pre_ko_rhs,3.4829049889484182e-15,3.4829049889484182e-15,9,24,11.375,0
0,0,1,post_rk_state,3.3306690738754785e-16,3.3306690738754785e-16,14,10,-1.75,0
0,0,2,pre_ko_rhs,2.8762393730715594e-15,2.8762393730715594e-15,9,2,-10,0
0,0,2,post_rk_state,2.4040159133756221e-16,2.4040159133756221e-16,14,10,-1.75,0
0,0,3,pre_ko_rhs,2.4410523016427674e-15,2.4410523016427674e-15,9,0,-12.375,0
0,0,3,post_rk_state,7.0650460992818053e-16,7.0650460992818053e-16,14,10,-1.75,0
0,0,4,pre_ko_rhs,2.6330353959857877e-15,2.6330353959857877e-15,9,26,15.625,0
0,0,4,post_rk_state,6.6164752237986747e-17,6.6164752237986747e-17,14,10,-1.75,0
1,0.010823312937405826,1,pre_ko_rhs,3.3181569824825141e-15,3.3181569824825141e-15,9,0,-14.375,0
1,0.010823312937405826,2,pre_ko_rhs,2.9656264876431446e-15,2.9656264876431446e-15,9,30,11.875,0
1,0.010823312937405826,3,pre_ko_rhs,3.4199874942545713e-15,3.4199874942545713e-15,9,32,12.5,0
1,0.010823312937405826,4,pre_ko_rhs,2.1718152793640755e-15,2.1718152793640755e-15,9,32,12.5,0
2,0.016214181496481635,1,pre_ko_rhs,6.4438701316497869e-15,6.4438701316497869e-15,9,27,2.25,0
2,0.016214181496481635,2,pre_ko_rhs,6.0998423873334116e-15,6.0998423873334116e-15,9,27,2.125,0
2,0.016214181496481635,3,pre_ko_rhs,6.2253348814118824e-15,6.2253348814118824e-15,9,12,-1.5,0
2,0.016214181496481635,4,pre_ko_rhs,6.5323615344601801e-15,6.5323615344601801e-15,9,10,-2.375,0
3,0.018905025735028697,1,pre_ko_rhs,6.1788878984068813e-15,6.1788878984068813e-15,9,25,1.8125,0
3,0.018905025735028697,2,pre_ko_rhs,6.0549696507208618e-15,6.0549696507208618e-15,9,25,0.8125,0
3,0.018905025735028697,3,pre_ko_rhs,7.3250031746336734e-15,7.3250031746336734e-15,9,27,3,0
3,0.018905025735028697,4,pre_ko_rhs,6.0316390867454941e-15,6.0316390867454941e-15,9,10,-2.6875,0
4,0.02159391397185053,1,pre_ko_rhs,6.6260053614473821e-15,6.6260053614473821e-15,9,27,2.25,0
4,0.02159391397185053,2,pre_ko_rhs,6.8022334838150128e-15,6.8022334838150128e-15,9,27,2.625,0
4,0.02159391397185053,3,pre_ko_rhs,6.1444758211214344e-15,6.1444758211214344e-15,9,12,0,0
4,0.02159391397185053,4,pre_ko_rhs,6.0111643639536175e-15,6.0111643639536175e-15,9,27,3.8125,0
5,0.024280680248136174,1,pre_ko_rhs,6.065912679606406e-15,6.065912679606406e-15,9,10,-2.8125,0
5,0.024280680248136174,2,pre_ko_rhs,6.3691615530895975e-15,6.3691615530895975e-15,9,27,3.0625,0
5,0.024280680248136174,3,pre_ko_rhs,6.2644475136350615e-15,6.2644475136350615e-15,9,25,0.8125,0
5,0.024280680248136174,4,pre_ko_rhs,7.6070391586098031e-15,7.6070391586098031e-15,9,25,2,0
6,0.026965115444719655,1,pre_ko_rhs,6.1224341307956518e-15,6.1224341307956518e-15,9,10,-3.5,0
6,0.026965115444719655,2,pre_ko_rhs,7.5158666758826117e-15,7.5158666758826117e-15,9,10,-2.4375,0
6,0.026965115444719655,3,pre_ko_rhs,6.7263321911523619e-15,6.7263321911523619e-15,9,27,2.6875,0
6,0.026965115444719655,4,pre_ko_rhs,7.7884928512399702e-15,7.7884928512399702e-15,9,27,3.6875,0
7,0.029647269617101422,1,pre_ko_rhs,6.0807324863690145e-15,6.0807324863690145e-15,9,10,-2.375,0
7,0.029647269617101422,2,pre_ko_rhs,6.9252276236998613e-15,6.9252276236998613e-15,9,27,3.25,0
7,0.029647269617101422,3,pre_ko_rhs,6.4666652852723943e-15,6.4666652852723943e-15,9,10,-3.875,0
7,0.029647269617101422,4,pre_ko_rhs,6.8694513274962259e-15,6.8694513274962259e-15,9,10,-3.4375,0
8,0.032327192388415867,1,pre_ko_rhs,6.9071234264800927e-15,6.9071234264800927e-15,9,10,-2.125,0
8,0.032327192388415867,2,pre_ko_rhs,5.7587082511055376e-15,5.7587082511055376e-15,9,27,2.625,0
8,0.032327192388415867,3,pre_ko_rhs,7.1826701638138155e-15,7.1826701638138155e-15,9,10,-2.6875,0
8,0.032327192388415867,4,pre_ko_rhs,6.2001264483040231e-15,6.2001264483040231e-15,9,27,3.5,0
9,0.035004932953226167,1,pre_ko_rhs,7.2256313761929166e-15,7.2256313761929166e-15,9,27,2.5,0
9,0.035004932953226167,2,pre_ko_rhs,6.1250401227041866e-15,6.1250401227041866e-15,9,12,0,0
9,0.035004932953226167,3,pre_ko_rhs,6.0187925302196611e-15,6.0187925302196611e-15,9,25,0.1875,0
9,0.035004932953226167,4,pre_ko_rhs,9.2798069951030159e-15,9.2798069951030159e-15,9,27,3.875,0
10,0.037680351299408506,1,pre_ko_rhs,7.3153012096349161e-15,7.3153012096349161e-15,9,12,-1.5,0
10,0.037680351299408506,2,pre_ko_rhs,7.7968361863518408e-15,7.7968361863518408e-15,9,10,-2.125,0
10,0.037680351299408506,3,pre_ko_rhs,6.4376875593188757e-15,6.4376875593188757e-15,9,12,-1.9375,0
10,0.037680351299408506,4,pre_ko_rhs,6.0006999289961349e-15,6.0006999289961349e-15,9,10,-2.25,0
11,0.040353248161614438,1,pre_ko_rhs,6.395068983039303e-15,6.395068983039303e-15,9,10,-3.4375,0
11,0.040353248161614438,2,pre_ko_rhs,6.8415400738208244e-15,6.8415400738208244e-15,9,27,2.375,0
11,0.040353248161614438,3,pre_ko_rhs,6.0826349528967334e-15,6.0826349528967334e-15,9,27,3.5625,0
11,0.040353248161614438,4,pre_ko_rhs,7.6588941472897399e-15,7.6588941472897399e-15,9,25,0.875,0
12,0.043023676573499182,1,pre_ko_rhs,6.8413622682189556e-15,6.8413622682189556e-15,9,12,-1.0625,0
12,0.043023676573499182,2,pre_ko_rhs,7.2899918179764136e-15,7.2899918179764136e-15,9,12,-1.0625,0
12,0.043023676573499182,3,pre_ko_rhs,6.1187176192217357e-15,6.1187176192217357e-15,9,12,0,0
12,0.043023676573499182,4,pre_ko_rhs,6.7859057981507308e-15,6.7859057981507308e-15,9,25,1.25,0
13,0.045691689136640339,1,pre_ko_rhs,5.6696970509427751e-15,5.6696970509427751e-15,9,12,-1.4375,0
13,0.045691689136640339,2,pre_ko_rhs,7.8950260225202141e-15,7.8950260225202141e-15,9,10,-2.5625,0
13,0.045691689136640339,3,pre_ko_rhs,6.8498148286404967e-15,6.8498148286404967e-15,9,25,0.4375,0
13,0.045691689136640339,4,pre_ko_rhs,6.4381409229886445e-15,6.4381409229886445e-15,9,27,2.875,0
14,0.04835733802519851,1,pre_ko_rhs,5.8088359336264637e-15,5.8088359336264637e-15,9,10,-3.5,0
14,0.04835733802519851,2,pre_ko_rhs,5.9095440520224668e-15,5.9095440520224668e-15,9,25,1.0625,0
