# reproduction_conditioned_linf=0.00000000000000000e+00
# production_rerun_conditioned_linf=0.00000000000000000e+00
# tolerance=4.99999999999999990e-13
# global_actual_maximum=3.10019667859771894e-13 component=10 radius=1.70528182747342744e-01 rank=3 gid=56
# at_global_max_actual=3.10019667859771894e-13 principal=0.00000000000000000e+00 vacuum=3.10019667859771894e-13 ordinary_gauge=0.00000000000000000e+00 gamma0=0.00000000000000000e+00 gamma2=0.00000000000000000e+00 driver=0.00000000000000000e+00 KO=0.00000000000000000e+00 sum=3.10019667859771894e-13
sector	family	maximum	component	radius	rank	gid	x	y	z	i	j	k
actual	Psi	0.00000000000000000e+00	0	9.43499322852020983e-01	5	90	6.87499999999999889e-01	2.08333333333333287e-02	-6.45833333333333370e-01	0	0	0
actual	Pi	3.10019667859771894e-13	10	1.70528182747342744e-01	3	56	-6.25000000000000000e-02	-1.45833333333333370e-01	-6.25000000000000000e-02	14	12	14
actual	Phi	0.00000000000000000e+00	20	9.43499322852020983e-01	5	90	6.87499999999999889e-01	2.08333333333333287e-02	-6.45833333333333370e-01	0	0	0
actual	Hhat	0.00000000000000000e+00	50	9.43499322852020983e-01	5	90	6.87499999999999889e-01	2.08333333333333287e-02	-6.45833333333333370e-01	0	0	0
actual	theta	0.00000000000000000e+00	54	9.43499322852020983e-01	5	90	6.87499999999999889e-01	2.08333333333333287e-02	-6.45833333333333370e-01	0	0	0
actual	Upsilon	0.00000000000000000e+00	58	9.43499322852020983e-01	5	90	6.87499999999999889e-01	2.08333333333333287e-02	-6.45833333333333370e-01	0	0	0
principal	Psi	0.00000000000000000e+00	0	9.43499322852020983e-01	5	90	6.87499999999999889e-01	2.08333333333333287e-02	-6.45833333333333370e-01	0	0	0
principal	Pi	0.00000000000000000e+00	10	9.43499322852020983e-01	5	90	6.87499999999999889e-01	2.08333333333333287e-02	-6.45833333333333370e-01	0	0	0
principal	Phi	0.00000000000000000e+00	20	9.43499322852020983e-01	5	90	6.87499999999999889e-01	2.08333333333333287e-02	-6.45833333333333370e-01	0	0	0
covariant_vacuum_source	Pi	3.10019667859771894e-13	10	1.70528182747342744e-01	3	56	-6.25000000000000000e-02	-1.45833333333333370e-01	-6.25000000000000000e-02	14	12	14
ordinary_gauge_increment	Pi	0.00000000000000000e+00	10	9.43499322852020983e-01	5	90	6.87499999999999889e-01	2.08333333333333287e-02	-6.45833333333333370e-01	0	0	0
gamma0_damping	Pi	0.00000000000000000e+00	10	9.43499322852020983e-01	5	90	6.87499999999999889e-01	2.08333333333333287e-02	-6.45833333333333370e-01	0	0	0
gamma2_damping	Pi	0.00000000000000000e+00	10	9.43499322852020983e-01	5	90	6.87499999999999889e-01	2.08333333333333287e-02	-6.45833333333333370e-01	0	0	0
gamma2_damping	Phi	0.00000000000000000e+00	20	9.43499322852020983e-01	5	90	6.87499999999999889e-01	2.08333333333333287e-02	-6.45833333333333370e-01	0	0	0
driver	Hhat	0.00000000000000000e+00	50	9.43499322852020983e-01	5	90	6.87499999999999889e-01	2.08333333333333287e-02	-6.45833333333333370e-01	0	0	0
driver	theta	0.00000000000000000e+00	54	9.43499322852020983e-01	5	90	6.87499999999999889e-01	2.08333333333333287e-02	-6.45833333333333370e-01	0	0	0
driver	Upsilon	0.00000000000000000e+00	58	9.43499322852020983e-01	5	90	6.87499999999999889e-01	2.08333333333333287e-02	-6.45833333333333370e-01	0	0	0
KO	Psi	0.00000000000000000e+00	0	9.43499322852020983e-01	5	90	6.87499999999999889e-01	2.08333333333333287e-02	-6.45833333333333370e-01	0	0	0
KO	Pi	0.00000000000000000e+00	10	9.43499322852020983e-01	5	90	6.87499999999999889e-01	2.08333333333333287e-02	-6.45833333333333370e-01	0	0	0
KO	Phi	0.00000000000000000e+00	20	9.43499322852020983e-01	5	90	6.87499999999999889e-01	2.08333333333333287e-02	-6.45833333333333370e-01	0	0	0
KO	Hhat	0.00000000000000000e+00	50	9.43499322852020983e-01	5	90	6.87499999999999889e-01	2.08333333333333287e-02	-6.45833333333333370e-01	0	0	0
KO	theta	0.00000000000000000e+00	54	9.43499322852020983e-01	5	90	6.87499999999999889e-01	2.08333333333333287e-02	-6.45833333333333370e-01	0	0	0
KO	Upsilon	0.00000000000000000e+00	58	9.43499322852020983e-01	5	90	6.87499999999999889e-01	2.08333333333333287e-02	-6.45833333333333370e-01	0	0	0
